setid,"Temperature, K",Mole fraction of ammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
STqKR,298.15,0,101,1098.3,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,298.15,0.0503,101,1098.3,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,298.15,0.0999,101,1099.1,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,298.15,0.1703,101,1100.1,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,298.15,0.2498,101,1100.9,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,298.15,0.328,101,1101.5,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,298.15,0.4491,101,1102,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,303.15,0,101,1095.2,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,303.15,0.0503,101,1095.2,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,303.15,0.0999,101,1096,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,303.15,0.1703,101,1097,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,303.15,0.2498,101,1097.7,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,303.15,0.328,101,1098.3,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,303.15,0.4491,101,1098.9,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,308.15,0,101,1092.4,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,308.15,0.0503,101,1092.1,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,308.15,0.0999,101,1092.9,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
