setid,Mole fraction of 1-octyl-3-methylimidazolium trifluoromethanesulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FJvVj,0,293.2,100,1834,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0,298.2,100,1830,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0,303.2,100,1826,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0,308.2,100,1821,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0,313.2,100,1814,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0029,293.2,100,1825,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0029,298.2,100,1821,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0029,303.2,100,1816,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0029,308.2,100,1811,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0029,313.2,100,1805,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0086,293.2,100,1806,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0086,298.2,100,1802,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0086,303.2,100,1798,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0086,308.2,100,1793,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0086,313.2,100,1787,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0147,293.2,100,1787,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0147,298.2,100,1783,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0147,303.2,100,1779,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0147,308.2,100,1774,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0147,313.2,100,1768,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0305,293.2,100,1741,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0305,298.2,100,1737,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0305,303.2,100,1732,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0305,308.2,100,1728,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.0305,313.2,100,1722,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.1001,293.2,100,1581,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.1001,298.2,100,1577.2,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.1001,303.2,100,1573,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.1001,308.2,100,1568.7,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.1001,313.2,100,1564,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.2,293.2,100,1439.9,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.2,298.2,100,1436.1,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.2,303.2,100,1432.1,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
FJvVj,0.2,308.2,100,1428.3,Zhang et al. (2018j),Density,Liquid,ABOLOh,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-octyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,,,
