setid,Mole fraction of ethylammonium acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YWgzJ,0,298.15,101,997.01,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.003,298.15,101,998.84,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.0103,298.15,101,1002.88,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.0201,298.15,101,1007.6,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.0315,298.15,101,1012.47,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.04,298.15,101,1015.72,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.0498,298.15,101,1019.12,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.0564,298.15,101,1021.11,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.07,298.15,101,1025.18,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.09,298.15,101,1030.07,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.0996,298.15,101,1032.07,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.1198,298.15,101,1035.48,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.1498,298.15,101,1038.15,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.2001,298.15,101,1040.68,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.3481,298.15,101,1038.3,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.6519,298.15,101,1028.14,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,0.7973,298.15,101,1024.37,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
YWgzJ,1,298.15,101,1017.71,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,
