setid,"Temperature, K","Mole fraction of (3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Mole fraction of (3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SrkZI,283.6,0.015,0.015,101,0.0001516,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,283.6,0.492,0.492,101,0.000157,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,293.6,0.012,0.012,101,0.0001524,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,293.6,0.493,0.493,101,0.0001598,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,303.5,0.012,0.012,101,0.000153,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,303.5,0.493,0.493,101,0.0001629,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,313.7,0.009,0.009,101,0.0001543,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,313.7,0.494,0.494,101,0.0001658,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,325.4,0.013,0.013,101,0.0001548,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,325.4,0.493,0.493,101,0.0001697,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,333.5,0.013,0.013,101,0.0001558,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
SrkZI,333.5,0.493,0.493,101,0.0001722,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
