setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KBJyp,0.0473,101,298.15,844.63,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.0982,101,298.15,883.64,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.2034,101,298.15,943.18,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.241,101,298.15,959.69,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.2958,101,298.15,980.53,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.4007,101,298.15,1012.5,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.4355,101,298.15,1021.38,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.4988,101,298.15,1035.79,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.5506,101,298.15,1046.19,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.6165,101,298.15,1057.95,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.6778,101,298.15,1067.63,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.7828,101,298.15,1081.97,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KBJyp,0.9118,101,298.15,1096.63,Arce et al. (2006b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
