setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of L-arginine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BhfDJ,0,293.15,0.01993,101.3,999.213,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,293.15,0.04003,101.3,1000.22,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,293.15,0.05996,101.3,1001.21,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,293.15,0.08036,101.3,1002.21,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,293.15,0.10121,101.3,1003.16,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,293.15,0.12001,101.3,1004.13,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,293.15,0.13999,101.3,1005.09,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,298.15,0.01993,101.3,998.001,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,298.15,0.04003,101.3,998.997,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,298.15,0.05996,101.3,999.975,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,298.15,0.08036,101.3,1000.97,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,298.15,0.10121,101.3,1001.91,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,298.15,0.12001,101.3,1002.87,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,298.15,0.13999,101.3,1003.82,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,303.15,0.01993,101.3,996.596,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,303.15,0.04003,101.3,997.583,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,303.15,0.05996,101.3,998.553,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,303.15,0.08036,101.3,999.537,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,303.15,0.10121,101.3,1000.48,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,303.15,0.12001,101.3,1001.42,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,303.15,0.13999,101.3,1002.37,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,308.15,0.01993,101.3,994.98,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,308.15,0.04003,101.3,995.958,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,308.15,0.05996,101.3,996.918,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,308.15,0.08036,101.3,997.886,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,308.15,0.10121,101.3,998.813,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,308.15,0.12001,101.3,999.75,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,308.15,0.13999,101.3,1000.68,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
BhfDJ,0,313.15,0.01993,101.3,993.182,Kumar et al. (2022),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
