setid,Mole fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MtPBu,0,101,358.15,1134,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.012,101,358.15,1134,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.028,101,358.15,1134,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.049,101,358.15,1134,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.074,101,358.15,1133,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.106,101,358.15,1133,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.131,101,358.15,1132,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.14,101,358.15,1132,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.147,101,358.15,1132,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.159,101,358.15,1131,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.187,101,358.15,1130,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.203,101,358.15,1130,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.224,101,358.15,1129,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.27,101,358.15,1129,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.271,101,358.15,1128,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.329,101,358.15,1126,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.363,101,358.15,1126,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.4,101,358.15,1125,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.457,101,358.15,1124,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.478,101,358.15,1122,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.555,101,358.15,1121,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.556,101,358.15,1120,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.628,101,358.15,1118,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.643,101,358.15,1116,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.692,101,358.15,1113,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.744,101,358.15,1106,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.771,101,358.15,1105,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.836,101,358.15,1087,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.848,101,358.15,1085,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
MtPBu,0.886,101,358.15,1072,Stark et al. (2012b),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
