setid,Weight fraction of 2-(2-aminoethoxy)ethanol,Weight fraction of N-methylpyrrolidone,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pGfQS,0.284,0.6166,293.15,101,1071.2,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,298.15,101,1066.8,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,303.15,101,1062.4,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,308.15,101,1058,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,313.15,101,1053.6,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,318.15,101,1049.2,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,323.15,101,1044.7,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,328.15,101,1040.3,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.284,0.6166,333.15,101,1035.8,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,293.15,101,1170,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,298.15,101,1165.5,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,303.15,101,1161,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,308.15,101,1156.6,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,313.15,101,1152.1,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,318.15,101,1147.6,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,323.15,101,1143.1,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.2981,0.3096,328.15,101,1138.7,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
