setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ERSdo,278.15,0,101.3,818.33,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.00557,101.3,818.72,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.01059,101.3,818.96,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.01937,101.3,819.42,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.03051,101.3,819.88,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.04074,101.3,820.23,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.05026,101.3,820.5,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.06097,101.3,820.75,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.07505,101.3,821,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
ERSdo,278.15,0.11577,101.3,821.27,Tomas et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
