setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dXAKo,0,288.15,100,999.099,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0,293.15,100,998.209,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0,298.15,100,997.049,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0,303.15,100,995.651,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0,308.15,100,994.028,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0,313.15,100,992.226,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0046,288.15,100,999.318,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0046,293.15,100,998.492,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0046,298.15,100,997.279,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0046,303.15,100,995.876,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0046,308.15,100,994.252,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0046,313.15,100,992.415,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0141,288.15,100,999.804,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0141,293.15,100,998.891,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0141,298.15,100,997.685,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0141,303.15,100,996.322,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0141,308.15,100,994.678,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0141,313.15,100,992.871,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0231,288.15,100,1000.22,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0231,293.15,100,999.304,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0231,298.15,100,998.078,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0231,303.15,100,996.69,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0231,308.15,100,995.112,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
dXAKo,0.0231,313.15,100,993.178,Mehrdad and Niknam (2016a),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
