setid,"Temperature, K","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of methyl 3-oxobutanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hZMfg,288.15,0,0,101,999.113,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.0809,101,1000.36,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.1654,101,1001.65,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.285,101,1003.44,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.386,101,1004.9,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.4607,101,1005.98,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.5604,101,1007.37,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.6367,101,1008.4,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.7871,101,1010.4,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0,0.8429,101,1011.13,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0,101,1004.34,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.0587,101,1005.29,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.0965,101,1005.89,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.2073,101,1007.58,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.3007,101,1008.96,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.3995,101,1010.36,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.5081,101,1011.83,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.5882,101,1012.88,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
hZMfg,288.15,0.1019,0.6651,101,1013.84,Pal et al. (2014c),Density,Liquid,AAWREy,COC(=O)CC(C)=O,methyl 3-oxobutanoate,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
