setid,"Temperature, K",Mole fraction of triethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TOUku,293.15,0.52,100,1187,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.617,100,1175,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.703,100,1166,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.787,100,1155,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.866,100,1144,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.929,100,1135,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.967,100,1129,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.981,100,1126,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.994,100,1124,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,0.997,100,1124,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,293.15,1,100,1122,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.52,100,1184,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.617,100,1172,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.703,100,1162,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.787,100,1152,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.866,100,1140,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.929,100,1132,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.967,100,1126,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.981,100,1123,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.994,100,1121,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,0.997,100,1121,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,298.15,1,100,1119,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,303.15,0.52,100,1181,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,303.15,0.617,100,1169,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,303.15,0.703,100,1160,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,303.15,0.787,100,1149,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TOUku,303.15,0.866,100,1138,Nordness et al. (2021),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
