setid,"Temperature, K","MolaLity of 3-dodecyl-1-ethyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iLHny,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.0061,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.0074,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.0109,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.015,100,998.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.021,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.0257,100,998.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.0362,100,999.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,293.15,0.0521,100,999.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
