setid,"Temperature, K","MolaLity of 1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BMuhl,293.15,0,101.3,921.2,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.0201,101.3,924.3,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.0301,101.3,925.8,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.0401,101.3,927.3,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.0502,101.3,928.8,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.0796,101.3,933.1,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.1196,101.3,938.7,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.2013,101.3,950,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.2491,101.3,956.2,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
BMuhl,293.15,0.2999,101.3,962.7,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
