setid,Solvent: Mole fraction of dimethyl sulfoxide,"MolaLity of tetrapentylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GanUU,0.0184,0.0465,298.15,101.325,1007.21,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0184,0.0706,298.15,101.325,1007.63,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0184,0.092,298.15,101.325,1007.99,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0184,0.1186,298.15,101.325,1008.43,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0184,0.1404,298.15,101.325,1008.79,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0184,0.2438,298.15,101.325,1010.34,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0184,0.2541,298.15,101.325,1010.54,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.0474,298.15,101.325,1017.26,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.0708,298.15,101.325,1017.64,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.0897,298.15,101.325,1017.94,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.1167,298.15,101.325,1018.33,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.1304,298.15,101.325,1018.55,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.1754,298.15,101.325,1019.2,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.2285,298.15,101.325,1019.9,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0391,0.2459,298.15,101.325,1020.13,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0899,0.0708,298.15,101.325,1039.2,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0899,0.0874,298.15,101.325,1039.34,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0899,0.1256,298.15,101.325,1039.68,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0899,0.1507,298.15,101.325,1039.87,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0899,0.2265,298.15,101.325,1040.35,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0899,0.2439,298.15,101.325,1040.44,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.0899,0.2551,298.15,101.325,1040.49,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.0447,298.15,101.325,1061.61,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.0535,298.15,101.325,1061.59,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.0674,298.15,101.325,1061.57,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.0783,298.15,101.325,1061.56,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.1262,298.15,101.325,1061.41,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.158,298.15,101.325,1061.33,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.2226,298.15,101.325,1061.07,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.1587,0.2437,298.15,101.325,1060.94,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0,298.15,101.325,1088.39,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0.0571,298.15,101.325,1087.16,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0.0747,298.15,101.325,1086.79,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0.0937,298.15,101.325,1086.37,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0.12,298.15,101.325,1085.8,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0.1502,298.15,101.325,1085.15,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0.1755,298.15,101.325,1084.61,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.3008,0.2107,298.15,101.325,1083.88,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.397,0,298.15,101.325,1096.24,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.397,0.0594,298.15,101.325,1094.51,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.397,0.0827,298.15,101.325,1093.84,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
GanUU,0.397,0.0918,298.15,101.325,1093.57,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
