setid,"Temperature, K",Mole fraction of n-butylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dtEup,293.15,0,101,803.56,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.0999,101,855.12,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.2004,101,898.27,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.2994,101,935.27,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.4007,101,968.52,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.4995,101,997.3,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.6495,101,1035.4,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.7978,101,1067.6,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,0.9008,101,1087.7,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
dtEup,293.15,1,101,1104.7,Xu et al. (2013a),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
