setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eLUUq,323.09,101.325,0.5,1279,Ahmed et al. (2018),Density,Liquid,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,AANEpq,c1c[nH]cn1,1H-imidazole,,,
eLUUq,333.07,101.325,0.5,1271,Ahmed et al. (2018),Density,Liquid,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,AANEpq,c1c[nH]cn1,1H-imidazole,,,
eLUUq,343.09,101.325,0.5,1262,Ahmed et al. (2018),Density,Liquid,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,AANEpq,c1c[nH]cn1,1H-imidazole,,,
eLUUq,353.13,101.325,0.5,1254,Ahmed et al. (2018),Density,Liquid,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,AANEpq,c1c[nH]cn1,1H-imidazole,,,
