setid,"MolaLity of D-glucose, mol/kg","MolaLity of 1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KSeqE,0,0,298.15,101,997.047,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0,0.0814,298.15,101,1006.92,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0,0.1,298.15,101,1009.1,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0,0.1206,298.15,101,1011.5,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0,0.1403,298.15,101,1013.75,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0,0.1772,298.15,101,1017.94,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.2,0,298.15,101,1010.41,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.2,0.0507,298.15,101,1016.26,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.2,0.0825,298.15,101,1019.85,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.2,0.099,298.15,101,1021.66,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.2,0.165,298.15,101,1028.83,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.2,0.1798,298.15,101,1030.43,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.4,0,298.15,101,1023.12,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.4,0.08,298.15,101,1031.8,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
