setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZBhuK,293.15,0.1211,101,1022.19,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.1734,101,1048.92,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.2215,101,1072.35,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.2738,101,1096.49,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.3226,101,1117.74,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.3709,101,1137.61,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.4215,101,1157.13,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.4721,101,1175.31,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.5207,101,1191.56,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ZBhuK,293.15,0.5728,101,1207.52,Solanki et al. (2013),Density,Liquid,AARvjM,Cc1ccncc1,4-methylpyridine,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
