setid,"MolaLity of 1-butyl-3-methylimidazolium octyl sulfate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IifOu,0.008,298.15,101,997.23,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.0148,298.15,101,997.38,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.0215,298.15,101,997.53,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.0301,298.15,101,997.72,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.035,298.15,101,997.83,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.0423,298.15,101,997.99,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.0492,298.15,101,998.14,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.0668,298.15,101,998.52,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.0888,298.15,101,998.99,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.1542,298.15,101,1000.35,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.2466,298.15,101,1002.19,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
IifOu,0.3369,298.15,101,1003.92,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
