setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NDnYQ,0,0,298.15,101.3,997.04,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.0521,298.15,101.3,998.7,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.0997,298.15,101.3,1000.21,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.1577,298.15,101.3,1002.02,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.1992,298.15,101.3,1003.32,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.2235,298.15,101.3,1004.07,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.2902,298.15,101.3,1006.11,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.3266,298.15,101.3,1007.22,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.4495,298.15,101.3,1010.93,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0,0.5179,298.15,101.3,1012.94,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0,298.15,101.3,1001.96,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.0527,298.15,101.3,1003.62,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.1031,298.15,101.3,1005.2,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.1477,298.15,101.3,1006.58,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.1946,298.15,101.3,1008.03,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.2614,298.15,101.3,1010.08,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.3006,298.15,101.3,1011.27,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.3506,298.15,101.3,1012.78,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.4118,298.15,101.3,1014.62,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.0963,0.4438,298.15,101.3,1015.58,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.1962,0,298.15,101.3,1007.6,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.1962,0.042,298.15,101.3,1008.92,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.1962,0.111,298.15,101.3,1011.07,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.1962,0.1426,298.15,101.3,1012.05,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
NDnYQ,0.1962,0.1924,298.15,101.3,1013.58,Shekaari and Jebali (2010c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
