setid,"Temperature, K",Mole fraction of triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lovfs,283.15,0.025,101,896.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.0983,101,1051.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.1005,101,1054.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.1994,101,1149.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.3029,101,1200.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.401,101,1231.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.5064,101,1253.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.6158,101,1269.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.7012,101,1278.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,283.15,0.8812,101,1293.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,288.15,0.025,101,892.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
lovfs,288.15,0.0983,101,1046.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,
