setid,"Temperature, K",Mole fraction of 2-amino-2-methylpropan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hrygN,293.15,0,81.5,1102.8,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,293.15,0.2,81.5,1080.9,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,293.15,0.4,81.5,1051.9,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,293.15,0.6,81.5,1017.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,293.15,0.8,81.5,978.7,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,293.15,1,81.5,934.3,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,303.15,0,81.5,1096.6,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,303.15,0.2,81.5,1074.6,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,303.15,0.4,81.5,1045.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,303.15,0.6,81.5,1010.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
