setid,"Temperature, K","Solvent: MolaLity of propylammonium formate, mol/kg","MolaLity of DL-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VBnnA,288.15,0,0.02482,101.325,999.857,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.04387,101.325,1000.41,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.06246,101.325,1000.95,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.06721,101.325,1001.08,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.07269,101.325,1001.24,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.11285,101.325,1002.39,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.12881,101.325,1002.84,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.15951,101.325,1003.7,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0,0.17856,101.325,1004.23,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.03679,101.325,1000.62,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.04092,101.325,1000.74,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.0772,101.325,1001.82,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.08841,101.325,1002.16,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.10084,101.325,1002.52,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.12681,101.325,1003.29,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.15516,101.325,1004.12,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.18546,101.325,1005,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.05,0.23205,101.325,1006.34,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.02398,101.325,1000.6,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.03972,101.325,1001.05,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.06853,101.325,1001.89,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.0923,101.325,1002.57,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.12607,101.325,1003.54,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.14061,101.325,1003.95,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.16533,101.325,1004.66,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
