setid,"Temperature, K","Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of nonan-1-ol, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eHlvh,298.15,0.1,0,101,1000.97,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,298.15,0.1,0.004,101,1000.85,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,298.15,0.1,0.008,101,1000.73,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,298.15,0.1,0.011,101,1000.65,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,298.15,0.1,0.014,101,1000.56,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,298.15,0.1,0.016,101,1000.49,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,298.15,0.1,0.02,101,1000.37,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,298.15,0.1,0.025,101,1000.23,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0,101,999.555,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0.004,101,999.435,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0.008,101,999.309,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0.011,101,999.232,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0.014,101,999.133,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0.016,101,999.056,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0.02,101,998.936,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,303.15,0.1,0.025,101,998.788,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,308.15,0.1,0,101,997.734,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,308.15,0.1,0.004,101,997.61,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
eHlvh,308.15,0.1,0.008,101,997.48,Dubey (2011),Density,Liquid,AAbmyh,CCCCCCCCCO,nonan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
