setid,"Temperature, K","MolaLity of 2-chloro-N,N,N-trimethylethanaminium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MneDL,278.15,0.0506,101,1001.45,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,0.1009,101,1002.89,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,0.2364,101,1006.79,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,0.501,101,1013.92,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,0.6523,101,1017.88,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,0.7529,101,1020.46,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,1.1995,101,1031.18,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,1.4973,101,1038.13,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,278.15,1.9862,101,1048.24,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,0.0506,101,1000.52,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,0.1009,101,1001.9,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,0.2364,101,1005.65,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,0.501,101,1012.48,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,0.6523,101,1016.28,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,0.7529,101,1018.75,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,1.1995,101,1029.02,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,1.4973,101,1035.68,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,288.15,1.9862,101,1045.39,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,0.0506,101,998.426,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,0.1009,101,999.762,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,0.2364,101,1003.4,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,0.501,101,1010.02,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,0.6523,101,1013.7,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,0.7529,101,1016.09,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,1.1995,101,1026.04,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,1.4973,101,1032.48,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,298.15,1.9862,101,1041.87,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,0.0506,101,995.387,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,0.1009,101,996.694,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,0.2364,101,1000.25,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,0.501,101,1006.72,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,0.6523,101,1010.32,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,0.7529,101,1012.65,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,1.1995,101,1022.36,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,1.4973,101,1028.63,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,308.15,1.9862,101,1037.78,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,0.0506,101,991.452,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,0.1009,101,992.837,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,0.2364,101,996.273,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,0.501,101,1002.68,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,0.6523,101,1006.2,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,0.7529,101,1008.52,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,1.1995,101,1018.06,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,1.4973,101,1024.21,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
MneDL,318.15,1.9862,101,1033.17,Shaukat and Buchner (2011),Density,Liquid,AAeUnt,C[N+](C)(C)CCCl.[Cl-],"2-chloro-N,N,N-trimethylethanaminium chloride",AADYJk,O,water,,,
