setid,"Temperature, K",Mole fraction of 1-butyl-4-methylpyridinium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ffsbu,298.15,0,101,997.04,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.0076,101,1001.3,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.0286,101,1011,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.043,101,1016.5,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.0972,101,1030.7,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.1667,101,1040.67,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.2377,101,1046.67,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.3001,101,1050.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.3636,101,1052.85,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.4331,101,1054.94,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.5372,101,1057.14,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.6203,101,1058.34,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.722,101,1059.47,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.8345,101,1060.35,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,0.9436,101,1060.99,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,298.15,1,101,1061.27,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0,101,994.03,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.0076,101,996.4,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
