setid,"Temperature, K",Mole fraction of 3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YoOtq,293.15,0,101,789.3,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.0523,101,878.1,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.1045,101,943.3,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.2014,101,1024.8,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.2925,101,1077.3,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.4024,101,1122.6,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.4781,101,1146.5,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.578,101,1171.9,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.6822,101,1192.9,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.7926,101,1210.7,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.8593,101,1219.4,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
YoOtq,293.15,0.9321,101,1227.3,Taib et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
