setid,"Temperature, K",Mole fraction of 1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
grooG,288.15,0,100,787.527,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.1,100,1057.2,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.2,100,1201.7,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.3,100,1291.7,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.4,100,1353,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.499,100,1397.48,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.6,100,1431.48,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.7003,100,1457.9,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.7998,100,1478.8,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
grooG,288.15,0.9003,100,1496.1,Fang et al. (2022),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
