setid,"Temperature, K","MolaLity of 1-propyl-3-methylimidazolium glycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lGYZs,288.15,0.0102,101,1000.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.0166,101,1000.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.0282,101,1000.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.0443,101,1000.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.1117,101,1002.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.1846,101,1004.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.2272,101,1005.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.2865,101,1006.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.3367,101,1007.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.3947,101,1009.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.4497,101,1010.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,288.15,0.5043,101,1012,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.0102,101,999.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.0166,101,999.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.0282,101,999.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.0443,101,999.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.1117,101,1001.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.1846,101,1003,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.2272,101,1004.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.2865,101,1005.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.3367,101,1006.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.3947,101,1008.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.4497,101,1009.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,293.15,0.5043,101,1010.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.0102,101,997.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.0166,101,997.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.0282,101,998.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.0443,101,998.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.1117,101,999.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
