setid,"Temperature, K","MolaLity of tetraethylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hHUvh,293.15,0,101,979.7,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,293.15,0.05925,101,980.6,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,293.15,0.13593,101,982.7,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,293.15,0.32027,101,985.3,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,293.15,0.39192,101,986.3,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,293.15,0.61791,101,988.5,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,293.15,0.90346,101,991.7,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0,101,984.2,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.03229,101,984.6,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.05284,101,984.9,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.06026,101,984.9,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.06357,101,984.9,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.13266,101,985.6,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.13593,101,985.7,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.18041,101,986,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.23557,101,986.4,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.32027,101,987.2,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.37591,101,987.6,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
