setid,"Temperature, K",Mole fraction of 2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BapaK,298.15,0,101,1058.52,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.065,101,1131.3,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.0935,101,1154.93,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.1373,101,1185.26,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.179,101,1206.72,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.2756,101,1243.13,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.3615,101,1264.94,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.458,101,1282.98,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.5544,101,1296.76,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
BapaK,298.15,0.6428,101,1305.96,Domanska et al. (2013e),Density,Liquid,AAQJSl,c1ccsc1,thiophene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
