setid,Mole fraction of 1-hexyl-3-methylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zDzVP,0,303.15,96.7,1090.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,308.15,96.7,1085.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,313.15,96.7,1080.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,318.15,96.7,1075.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,323.15,96.7,1070.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,328.15,96.7,1065.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,333.15,96.7,1060.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,338.15,96.7,1055.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,343.15,96.7,1050.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
zDzVP,0,348.15,96.7,1045.3,Yang et al. (2017c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
