setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AEKnc,288.15,0,100,999.09,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.0157,100,999.18,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.0217,100,999.21,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.0251,100,999.23,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.0257,100,999.23,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.0342,100,999.26,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.0619,100,999.35,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.0932,100,999.4,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.1815,100,999.3,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.2274,100,999.24,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,288.15,0.3292,100,999.12,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,293.15,0,100,998.2,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,293.15,0.0157,100,998.27,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,293.15,0.0217,100,998.29,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,293.15,0.0251,100,998.3,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,293.15,0.0257,100,998.3,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
AEKnc,293.15,0.0342,100,998.33,Alopina et al. (2023),Density,Liquid,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,AADYJk,O,water,,,
