setid,Weight fraction of 1-butyl-3-methylimidazolium dicyanamide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iCsTp,0.95,303,100,1053.41,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,,,
iCsTp,0.95,308,100,1050.18,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,,,
iCsTp,0.95,313,100,1046.96,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,,,
iCsTp,0.95,318,100,1043.77,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,,,
iCsTp,0.95,323,100,1040.59,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,,,
