setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gQMNX,0.03,101,298.15,946.19,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
gQMNX,0.0789,101,298.15,949.63,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
gQMNX,0.122,101,298.15,952.52,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
