setid,"MolaLity of tetrapropylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gHFPg,0.04813,101,298,3.4,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,0.07365,101,298,5.1,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,0.20564,101,298,13.6,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,0.27957,101,298,18.2,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,0.41336,101,298,26.3,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,0.59535,101,298,35.9,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,0.78008,101,298,46.3,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,1.20401,101,298,66.2,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,2.72177,101,298,119.8,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
gHFPg,3.52608,101,298,140.7,Barthel et al. (1999b),Density,Liquid,AAIsrh,CCO,ethanol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
