setid,"Solvent: MolaLity of 1-(2-carboxyethyl)-3-methylimidazolium chloride, mol/kg","MolaLity of L-serine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LKtsA,0.05,0,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.0484,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.0678,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.1029,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.1386,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.1716,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.2122,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.2616,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.05,0.3009,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.0565,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.07,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.0858,298.15,86,1000,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.0987,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.1421,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.1762,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.2123,298.15,86,1010,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
LKtsA,0.09,0.3658,298.15,86,1020,Asadzadeh et al. (2023),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water
