setid,"Solvent: MolaLity of N-methyl-2-oxopyrrolidinium propionate, mol/kg","Temperature, K","MolaLity of D-glucose, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VLOwp,0.1,288.15,0,100,1000.28,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,288.15,0.05909,100,1004.48,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,288.15,0.06393,100,1004.82,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,288.15,0.0839,100,1006.23,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,288.15,0.11271,100,1008.24,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,288.15,0.1297,100,1009.41,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,288.15,0.15748,100,1011.33,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,288.15,0.1912,100,1013.63,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0,100,998.097,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0.05909,100,1002.23,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0.06393,100,1002.56,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0.0839,100,1003.94,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0.11271,100,1005.92,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0.1297,100,1007.08,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0.15748,100,1008.96,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,298.15,0.1912,100,1011.23,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,308.15,0,100,994.976,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,308.15,0.05909,100,999.046,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
VLOwp,0.1,308.15,0.06393,100,999.376,Singh et al. (2016b),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate
