setid,Solvent: Weight fraction of acetonitrile,"MolaRity of ethylhexadecyldimethylammonium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OaqpL,0,0.005,101,303.15,995.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0,0.01,101,303.15,995.8,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0,0.02,101,303.15,995.9,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0,0.03,101,303.15,996.1,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0,0.04,101,303.15,996.3,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0,0.05,101,303.15,996.5,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.1,0.005,101,303.15,978.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.1,0.01,101,303.15,978.9,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.1,0.02,101,303.15,979.1,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.1,0.03,101,303.15,979.4,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.1,0.04,101,303.15,979.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.1,0.05,101,303.15,979.9,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.3,0.005,101,303.15,935,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.3,0.01,101,303.15,935.2,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.3,0.02,101,303.15,935.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.3,0.03,101,303.15,936.1,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.3,0.04,101,303.15,936.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.3,0.05,101,303.15,937,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.5,0.005,101,303.15,886.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.5,0.01,101,303.15,887,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.5,0.02,101,303.15,887.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.5,0.03,101,303.15,888.3,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.5,0.04,101,303.15,888.9,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.5,0.05,101,303.15,889.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.7,0.005,101,303.15,839.3,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
