setid,Mole fraction of n-butylammonium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JBrUU,0.0972,101,298.15,1059.1,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.1693,101,298.15,1075.5,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.1929,101,298.15,1079.1,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.23565,101,298.15,1084.1,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.2666,101,298.15,1086.9,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.3146,101,298.15,1090.7,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.319,101,298.15,1090.9,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.4027,101,298.15,1095.4,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.5256,101,298.15,1099.5,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.638,101,298.15,1101.8,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
JBrUU,0.7708,101,298.15,1103.7,Segade et al. (2016),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
