setid,"Temperature, K","MolaLity of copper(II) trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SXdVW,283.15,0,101,800.548,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,283.15,0.1213,101,829.484,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,283.15,0.1418,101,834.535,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,283.15,0.1772,101,843.312,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,283.15,0.2047,101,850.214,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,283.15,0.231,101,856.972,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,283.15,0.2571,101,863.707,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,283.15,0.2847,101,871.006,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,288.15,0,101,795.857,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,288.15,0.1213,101,824.791,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,288.15,0.1418,101,829.841,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
