setid,Mole fraction of 1-butyl-3-methylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YDjEU,0.333,293.15,101,1340.9,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,298.15,101,1336.3,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,303.15,101,1331.8,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,308.15,101,1327.3,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,313.15,101,1322.9,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,318.15,101,1318.4,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,323.15,101,1314,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,328.15,101,1309.6,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,333.15,101,1305.2,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,338.15,101,1300.8,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
YDjEU,0.333,343.15,101,1296.5,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
