setid,Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WDFVv,0.01082,298.15,101,795.48,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.01646,298.15,101,804.68,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.02252,298.15,101,814.3,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.04929,298.15,101,853.38,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.08059,298.15,101,893.87,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.1218,298.15,101,939.88,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.1736,298.15,101,988.57,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.2371,298.15,101,1038.16,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.3264,298.15,101,1093.25,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.4565,298.15,101,1153.25,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.652,298.15,101,1215.55,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,0.8336,298.15,101,1255.9,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
WDFVv,1,298.15,101,1283.7,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
