setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oxmHm,298.15,0.0924,101,867.43,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.1864,101,913.51,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.282,101,959.83,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.3793,101,1006.46,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.4782,101,1053.28,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.5789,101,1100.08,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.6814,101,1146.86,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.7857,101,1193.4,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,298.15,0.8919,101,1239.6,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,303.15,0.0924,101,863.98,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,303.15,0.1864,101,910.03,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
oxmHm,303.15,0.282,101,956.38,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
