setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of trisodium citrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cGdaJ,288.15,0,84.5,0.035,1005.71,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00117,84.5,0.035,1005.75,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00202,84.5,0.035,1005.79,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00261,84.5,0.035,1005.8,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00287,84.5,0.035,1005.81,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00371,84.5,0.035,1005.85,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00437,84.5,0.035,1005.87,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00499,84.5,0.035,1005.89,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.0055,84.5,0.035,1005.9,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
cGdaJ,288.15,0.00602,84.5,0.035,1005.91,Golabiazar and Sadeghi (2014b),Density,Liquid,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
