setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of glycyl-L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pyPHq,0.05,288.15,0,101,1000.22,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.00999,101,1000.72,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.01995,101,1001.23,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.02959,101,1001.72,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.0501,101,1002.81,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.05965,101,1003.33,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.07047,101,1003.93,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.07981,101,1004.43,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,288.15,0.0893,101,1005,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
pyPHq,0.05,293.15,0,101,999.56,Yan et al. (2014a),Density,Liquid,AAkKNJ,CC(C)C[C@H](NC(=O)CN)C(=O)O,glycyl-L-leucine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
