setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PIdaR,283.15,0.04835,100,1139.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.07653,100,1150,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.17802,100,1180,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.27468,100,1202.4,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.36871,100,1220.2,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.49069,100,1238.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.59027,100,1251.6,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.66435,100,1259.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.75911,100,1269.6,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.86658,100,1279.7,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,283.15,0.93782,100,1285.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.04835,100,1132.7,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.07653,100,1142.7,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.17802,100,1172.2,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.27468,100,1194.4,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.36871,100,1212.2,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.49069,100,1230.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.59027,100,1243.6,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.66435,100,1251.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.75911,100,1261.8,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.86658,100,1272,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,293.15,0.93782,100,1278.2,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.04835,100,1125.4,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.07653,100,1135.3,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.17802,100,1164.5,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.27468,100,1186.5,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.36871,100,1204.2,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.49069,100,1222.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.59027,100,1235.7,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.66435,100,1244.1,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.75911,100,1254,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.86658,100,1264.3,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,303.15,0.93782,100,1270.6,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,313.15,0.04835,100,1118.1,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
PIdaR,313.15,0.07653,100,1127.9,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AALwIY,OCCO,"1,2-ethanediol",,,
