setid,Mole fraction of tetrabutylammonium hydrogen sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JkHbi,0.333,293.15,100,1150.09,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,298.15,100,1149.41,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,303.15,100,1145.81,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,308.15,100,1142.21,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,313.15,100,1138.61,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,318.15,100,1135.13,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,323.15,100,1131.65,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,328.15,100,1128.17,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.333,333.15,100,1124.72,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,293.15,100,1113.55,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,298.15,100,1110.21,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,303.15,100,1106.8,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,308.15,100,1103.29,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,313.15,100,1099.91,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,318.15,100,1096.71,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,323.15,100,1093.51,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,328.15,100,1090.31,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
JkHbi,0.5,333.15,100,1087.12,Omar and Sadeghi (2022),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,
