setid,"Temperature, K","MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NnZhj,298.15,0.0208,100,778.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.0449,100,780.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.0648,100,781.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.0817,100,783.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.1001,100,784.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.124,100,786.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.1424,100,788,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.1649,100,789.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.1832,100,791.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,298.15,0.2011,100,792.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.0208,100,773.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.0449,100,775.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.0648,100,776.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.0817,100,778.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.1001,100,779.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.124,100,781.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.1424,100,782.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.1649,100,784.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.1832,100,786,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,303.15,0.2011,100,787.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.0208,100,763.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.0449,100,765.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.0648,100,766.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.0817,100,768.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.1001,100,769.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.124,100,771.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.1424,100,772.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.1649,100,774.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.1832,100,776.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,308.15,0.2011,100,777.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.0208,100,754.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.0449,100,756.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.0648,100,757.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.0817,100,759.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.1001,100,760.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.124,100,762.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.1424,100,764.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.1649,100,765.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.1832,100,767.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
NnZhj,313.15,0.2011,100,768.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
