setid,"Temperature, K",Mole fraction of tributylmethylphosphonium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RDogX,293.15,0,100,1160,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.062,100,1151,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.1,100,1147,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.142,100,1141,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.191,100,1134,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.249,100,1126,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.317,100,1117,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.399,100,1108,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.499,100,1098,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.624,100,1087,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.732,100,1079,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.823,100,1073,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
RDogX,293.15,0.863,100,1071,Umapathi et al. (2020),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AASYDH,O=Cc1ccco1,2-furaldehyde,,,
