setid,"Moles per mass of solution: tetraethylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IOjUr,0,100,298.15,1064.18,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.00731,100,298.15,1064.57,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.00828,100,298.15,1064.62,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.00992,100,298.15,1064.71,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.01133,100,298.15,1064.77,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.01292,100,298.15,1064.84,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.01421,100,298.15,1064.93,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.0163,100,298.15,1065.02,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.01778,100,298.15,1065.09,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
IOjUr,0.0194,100,298.15,1065.16,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
