setid,"MolaLity of propylammonium formate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FWzrP,0,293.15,100,998.208,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0,298.15,100,997.048,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0,303.15,100,995.66,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0,308.15,100,994.044,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0,313.15,100,992.228,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0,318.15,100,990.224,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0,323.15,100,988.031,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.1,293.15,100,999.222,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.1,298.15,100,997.851,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.1,303.15,100,996.637,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.1,308.15,100,994.884,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.1,313.15,100,993.191,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.1,318.15,100,990.986,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.1,323.15,100,988.793,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.2,293.15,100,1000.07,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.2,298.15,100,998.673,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.2,303.15,100,997.448,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
