setid,"Temperature, K",Mole fraction of trimethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DvQpF,298.15,0,101,1025.9,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.0182,101,1028.63,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.0369,101,1030.53,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.0987,101,1036.87,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.1401,101,1039.96,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.2032,101,1043.65,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.3166,101,1047.89,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.3637,101,1048.9,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.4353,101,1049.74,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.5625,101,1049.92,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.6999,101,1049.74,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.8435,101,1050.4,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.936,101,1051.83,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,0.9675,101,1052.54,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,298.15,1,101,1053.85,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,303.15,0,101,1023.74,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,303.15,0.0182,101,1026.1,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,303.15,0.0369,101,1027.79,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,303.15,0.0987,101,1033.52,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,303.15,0.1401,101,1036.31,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
DvQpF,303.15,0.2032,101,1039.76,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
