setid,"Temperature, K","MolaLity of 1-carboxymethyl-3-methylimidazolium chloride, mol/kg","MolaLity of 1-(carboxymethyl)-3-propylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kEGnV,293.15,0.025,0.0751,101,1003.24,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,0.05,0.0501,101,1003.43,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,0.0751,0.025,101,1003.6,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,0.2502,0.7507,101,1041.04,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,0.5007,0.5005,101,1042.54,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,0.7496,2.2502,101,1098.14,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,0.7506,0.2509,101,1043.98,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,1.4981,4.5019,101,1147.9,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,1.5004,1.4993,101,1102.66,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,2.2501,0.7494,101,1107.2,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,2.9649,3.0352,101,1156.18,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,293.15,4.4977,1.5025,101,1165.15,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,0.025,0.0751,101,1002,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,0.05,0.0501,101,1002.14,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,0.0751,0.025,101,1002.3,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,0.2502,0.7507,101,1039.06,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,0.5007,0.5005,101,1040.59,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,0.7496,2.2502,101,1095.59,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,0.7506,0.2509,101,1042.21,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,1.4981,4.5019,101,1144.9,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,1.5004,1.4993,101,1100.19,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
