setid,"Temperature, K",Mole fraction of 2-propenol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TRKoD,298.15,0.9835,87,869.3,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,298.15,1,87,850.4,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0,87,1233.1,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.0988,87,1220.3,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.1811,87,1207.7,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.2833,87,1189.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.4107,87,1162.2,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.4939,87,1140.1,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.5909,87,1109.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.7086,87,1061.4,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.8066,87,1009.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.9057,87,939.6,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,0.9835,87,865.2,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,303.15,1,87,846,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0,87,1229.7,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.0988,87,1216.9,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.1811,87,1204.3,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.2833,87,1186,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.4107,87,1158.6,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.4939,87,1136.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.5909,87,1105.9,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.7086,87,1058,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.8066,87,1005.8,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.9057,87,935.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,0.9835,87,860.9,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,308.15,1,87,841.6,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0,87,1226.4,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.0988,87,1213.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.1811,87,1200.8,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.2833,87,1182.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.4107,87,1155.1,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.4939,87,1133,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.5909,87,1102.2,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.7086,87,1054,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.8066,87,1001.9,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.9057,87,931.3,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,0.9835,87,856.6,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,313.15,1,87,837.1,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
