setid,"Temperature, K","Mole ratio to solvent: 2,5,8-trioxanonane","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LWLLY,298.1,1,100,1440,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,298.1,2,100,1260,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,1,100,1350,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,2,100,1240,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,3,100,1180,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,4,100,1130,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,5,100,1100,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,6,100,1080,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,8,100,1040,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,10,100,1030,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,15,100,1000,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,20,100,980,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,30,100,970,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
LWLLY,301.1,40,100,960,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
