setid,"Temperature, K","Mole fraction of 2-(N,N-dimethylamino)ethanol","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fZuxF,288.15,0,101,1376,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.1221,101,1347.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.2143,101,1324.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.3182,101,1294,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.4405,101,1252.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.5166,101,1222.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.605,101,1181.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.709,101,1125.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.8063,101,1062.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,0.9128,101,978.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,288.15,1,101,891.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0,101,1371.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.1221,101,1343.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.2143,101,1319.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.3182,101,1289.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.4405,101,1248.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.5166,101,1217.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.605,101,1177,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.709,101,1120.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.8063,101,1058.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,0.9128,101,974,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,293.15,1,101,887.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0,101,1367.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.1221,101,1339.1,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.2143,101,1315.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.3182,101,1285,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.4405,101,1243.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.5166,101,1213.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.605,101,1172.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.709,101,1116.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
