setid,"MolaLity of N-methylpiperidinium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mAHIr,0.0981,283.15,100,1.171,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,293.15,100,1.07,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,303.15,100,1.017,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,313.15,100,0.987,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,323.15,100,0.968,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,333.15,100,0.961,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,343.15,100,0.961,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,353.15,100,0.974,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.0981,363.15,100,0.995,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,283.15,100,1.145,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,283.15,100,1.171,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,293.15,100,1.063,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
