setid,"Temperature, K",Mole fraction of toluene,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lnDtc,293.15,0,100,1398.4,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,0.1093,100,1378.24,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,0.1978,100,1359.46,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,0.3041,100,1333.49,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,0.3965,100,1306.44,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,0.5054,100,1268.01,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,0.6027,100,1225.11,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,0.7066,100,1166.37,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,293.15,1,100,866.86,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,298.15,0,100,1393.96,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,298.15,0.1093,100,1373.77,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,298.15,0.1978,100,1354.99,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,298.15,0.3041,100,1329,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
lnDtc,298.15,0.3965,100,1301.94,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
