setid,"Temperature, K",Weight fraction of 1-methyl-3-propylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LkPxi,288.15,0,101,787.4,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0042,101,789,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0061,101,789.7,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0082,101,790.5,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0107,101,791.5,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0124,101,792.1,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0161,101,793.5,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0206,101,795.2,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0251,101,796.9,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
LkPxi,288.15,0.0298,101,798.7,Sadeghi et al. (2009a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
