setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium methyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fdLAJ,298.15,0.0166,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.0244,101,999,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.0302,101,999,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.0372,101,1000,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.0702,101,1001,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.077,101,1002,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.0961,101,1002,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.1191,101,1003,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.1346,101,1004,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.1823,101,1005,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.3343,101,1011,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.4226,101,1015,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.5486,101,1020,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,298.15,0.573,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
