setid,"Temperature, K","Mole fraction of 1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gIFfW,293.15,0,101.3,974.9,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.1731,101.3,1150.1,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.302,101.3,1242.2,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.4028,101.3,1298.8,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.4991,101.3,1343.7,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.6093,101.3,1387,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.7039,101.3,1418.8,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.7951,101.3,1445.6,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,0.8901,101.3,1470.6,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,293.15,1,101.3,1495.8,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
gIFfW,298.15,0,101.3,969.3,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
