setid,Solvent: Mole fraction of acetonitrile,"MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NYShU,0.1,0.00849,293.15,101,983.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.00849,303.15,101,979.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.00849,313.15,101,974.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.01593,293.15,101,984.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.01593,303.15,101,979.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.01593,313.15,101,974.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.02126,293.15,101,984.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.02126,303.15,101,980,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.02126,313.15,101,974.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.02661,293.15,101,984.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.02661,303.15,101,980.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.02661,313.15,101,975.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.03196,293.15,101,985.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.03196,303.15,101,980.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.03196,313.15,101,975.4,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.03733,293.15,101,985.4,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.03733,303.15,101,980.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.03733,313.15,101,975.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.0427,293.15,101,985.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.0427,303.15,101,981.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.0427,313.15,101,976.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.04809,293.15,101,986,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.04809,303.15,101,981.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.04809,313.15,101,976.4,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.05341,293.15,101,986.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.05341,303.15,101,981.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.1,0.05341,313.15,101,976.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.2,0.00926,293.15,101,964.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.2,0.00926,303.15,101,958.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.2,0.00926,313.15,101,952.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.2,0.01735,293.15,101,965.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
NYShU,0.2,0.01735,303.15,101,959.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
